[11:58:34] [main/INFO]: ModLauncher running: args [--username, LinksApprentice, --version, forge-47.3.0, --gameDir, D:\MC modding\Instances\Path Accesion, --assetsDir, D:\MC modding\Install\assets, --assetIndex, 5, --uuid, 2236429e762746aba45224c7749b303b, --accessToken, ????????, --clientId, 109f488-8ff088-1d3e2f-ff479f-111595, --xuid, 2535405300899345, --userType, msa, --versionType, release, --width, 2560, --height, 1440, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[11:58:34] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[11:58:35] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[11:58:35] [main/INFO]: Trying GL version 4.6
[11:58:35] [main/INFO]: Requested GL version 4.6 got version 4.6
[11:58:35] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 4070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.14, NVIDIA Corporation
[11:58:36] [main/INFO]: Starting Essential Loader (stage2) version 1.6.3 (285f951adc7537f49ae3ef9fc0d2fd3e) [stable]
[11:58:36] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/D:/MC%20modding/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[11:58:36] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file alexscaves-2.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file alltheleaks-0.1.0-beta+1.20.1-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file almanac-1.20.x-forge-1.0.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.9.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.16.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file auudio_forge_1.0.3_MC_1.19.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.10-all.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file betterchunkloading-1.20.1-5.2.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.592.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file bocchium-1.20.1-0.0.3.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file Botania-1.20.1-446-FORGE.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
[11:58:36] [main/INFO]: Found mod file call_of_yucutan-1.0.13-forge-1.20.1.jar of type MOD with provider {mods folder locator at D:\MC modding\Instances\Path Accesion\mods}
